# checkpoint=results/bilinear_frozen/pretrained/N6000/seed42/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.3158  bootstrap_ci95=[0.2941, 0.3333]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,15,4,0.26666666666666666,1.803,0.985,True,True,True,True
21,11815,17,7,0.4117647058823529,2.103,1.459,True,True,True,True
24,11816,-1,-1,nan,0.0,0.0,False,False,False,
26,11816,16,5,0.3125,1.332,0.656,True,True,True,True
27,11816,20,5,0.25,2.6,0.645,True,True,True,True
29,11816,21,7,0.3333333333333333,2.547,1.031,True,True,True,True
34,11816,18,8,0.4444444444444444,1.568,0.877,True,True,True,True
39,11816,19,4,0.21052631578947367,1.991,0.58,True,True,True,True
53,11818,14,4,0.2857142857142857,1.368,0.674,True,True,True,False
54,11818,14,3,0.21428571428571427,1.026,0.539,True,True,True,False
56,11818,14,4,0.2857142857142857,1.481,0.749,True,True,True,False
65,11840,16,6,0.375,1.959,1.47,True,True,True,False
71,11840,19,10,0.5263157894736842,2.501,1.451,True,True,True,True
73,11840,26,9,0.34615384615384615,3.708,1.133,True,True,True,True
75,11840,19,9,0.47368421052631576,2.242,1.631,True,True,True,True
85,11840,16,5,0.3125,1.789,0.698,True,True,True,True
86,11840,19,4,0.21052631578947367,2.6,0.607,True,True,True,True
88,11840,16,3,0.1875,2.014,0.624,True,True,True,False
89,11840,15,4,0.26666666666666666,1.441,0.619,True,True,True,False
102,12089,16,5,0.3125,1.698,0.67,True,True,True,True
107,12089,14,4,0.2857142857142857,1.48,0.923,True,True,True,True
117,12089,22,11,0.5,2.584,1.405,True,True,True,True
129,12100,22,9,0.4090909090909091,2.785,1.456,True,True,True,True
130,12100,23,4,0.17391304347826086,2.265,0.561,True,True,True,True
132,12100,17,3,0.17647058823529413,1.627,0.55,True,True,True,True
140,12101,23,3,0.13043478260869565,3.411,0.592,True,True,True,True
143,12101,17,8,0.47058823529411764,1.785,1.676,True,True,True,True
149,12150,20,9,0.45,2.374,1.497,True,True,True,True
151,12150,24,4,0.16666666666666666,3.035,0.744,True,True,True,True
162,12321,84,9,0.10714285714285714,7.19,0.808,True,True,True,False
166,12321,28,20,0.7142857142857143,4.15,3.263,True,True,True,True
180,12426,20,7,0.35,2.198,0.97,True,True,True,True
181,12426,19,5,0.2631578947368421,1.664,0.621,True,True,True,False
183,12426,19,6,0.3157894736842105,1.656,0.735,True,True,True,False
193,12483,19,10,0.5263157894736842,2.311,1.629,True,True,True,True
197,12524,18,8,0.4444444444444444,1.935,1.537,True,True,True,True
208,12534,19,5,0.2631578947368421,1.995,0.945,True,True,True,True
218,12534,27,4,0.14814814814814814,3.337,0.6,True,True,True,True
220,12534,27,6,0.2222222222222222,4.591,0.899,True,True,True,True
222,12551,32,28,0.875,3.374,3.591,True,True,True,True
224,12551,19,4,0.21052631578947367,2.258,0.878,True,True,True,True
232,12551,19,4,0.21052631578947367,2.809,0.74,True,True,True,False
