# checkpoint=results/bilinear_frozen/random/N2000/seed42/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.4000  bootstrap_ci95=[0.3889, 0.4286]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,15,6,0.4,1.666,1.36,True,True,True,True
21,11815,17,7,0.4117647058823529,1.832,1.195,True,True,True,False
24,11816,50,42,0.84,6.471,3.88,True,True,True,False
26,11816,16,4,0.25,1.533,0.533,True,True,True,True
27,11816,20,11,0.55,2.33,2.338,True,True,True,True
29,11816,21,4,0.19047619047619047,2.475,0.6,True,True,True,True
34,11816,18,6,0.3333333333333333,2.107,0.781,True,True,True,True
39,11816,19,9,0.47368421052631576,2.192,1.476,True,True,True,True
53,11818,14,3,0.21428571428571427,1.434,0.563,True,True,True,True
54,11818,14,3,0.21428571428571427,1.547,0.685,True,True,True,True
56,11818,14,4,0.2857142857142857,1.284,0.704,True,True,True,True
65,11840,16,8,0.5,1.253,0.95,True,True,True,False
71,11840,19,11,0.5789473684210527,1.984,1.756,True,True,True,True
73,11840,26,10,0.38461538461538464,3.432,1.817,True,True,True,True
75,11840,19,11,0.5789473684210527,1.802,1.614,True,True,True,True
85,11840,16,8,0.5,1.806,1.314,True,True,True,True
86,11840,19,6,0.3157894736842105,2.671,1.166,True,True,True,True
88,11840,16,6,0.375,2.234,1.326,True,True,True,True
89,11840,15,7,0.4666666666666667,1.46,0.982,True,True,True,True
102,12089,16,6,0.375,1.406,0.624,True,True,True,True
107,12089,14,15,1.0714285714285714,1.475,1.946,True,True,True,False
117,12089,22,11,0.5,2.155,1.527,True,True,True,True
129,12100,22,9,0.4090909090909091,2.678,1.119,True,True,True,True
130,12100,23,7,0.30434782608695654,2.951,0.986,True,True,True,True
132,12100,17,11,0.6470588235294118,1.409,1.192,True,True,True,True
140,12101,23,8,0.34782608695652173,2.571,1.402,True,True,True,False
