# checkpoint=results/bilinear_warmup/pretrained/N6000/seed0/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.2609  bootstrap_ci95=[0.2414, 0.2778]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,15,5,0.3333333333333333,1.578,0.65,True,True,True,True
21,11815,17,14,0.8235294117647058,2.046,2.364,True,True,True,True
24,11816,50,7,0.14,5.951,0.517,True,False,False,False
26,11816,16,5,0.3125,1.535,0.459,True,True,True,True
27,11816,20,10,0.5,2.167,1.552,True,True,True,True
29,11816,21,8,0.38095238095238093,2.156,1.473,True,True,True,True
34,11816,18,7,0.3888888888888889,1.274,0.79,True,True,True,True
39,11816,19,6,0.3157894736842105,1.423,0.707,True,True,True,True
53,11818,14,4,0.2857142857142857,1.42,0.628,True,True,True,True
54,11818,14,6,0.42857142857142855,1.417,1.004,True,True,True,True
56,11818,14,5,0.35714285714285715,1.333,0.713,True,True,True,False
65,11840,16,5,0.3125,1.805,0.777,True,True,True,True
71,11840,19,3,0.15789473684210525,2.207,0.687,True,True,True,True
73,11840,26,6,0.23076923076923078,3.838,0.923,True,True,True,True
75,11840,19,9,0.47368421052631576,1.793,1.351,True,True,True,True
85,11840,16,3,0.1875,1.403,0.436,True,True,True,True
86,11840,19,4,0.21052631578947367,2.302,0.746,True,True,True,True
88,11840,16,4,0.25,2.104,0.78,True,True,True,True
89,11840,15,2,0.13333333333333333,1.747,0.573,True,True,True,False
102,12089,16,10,0.625,2.24,1.301,True,True,True,True
107,12089,14,4,0.2857142857142857,1.392,0.618,True,True,True,True
117,12089,22,4,0.18181818181818182,2.35,0.686,True,True,True,True
129,12100,22,8,0.36363636363636365,2.382,1.189,True,True,True,True
130,12100,23,6,0.2608695652173913,2.923,1.143,True,True,True,False
132,12100,17,4,0.23529411764705882,1.665,0.622,True,True,True,True
140,12101,23,4,0.17391304347826086,2.778,0.885,True,True,True,False
143,12101,17,9,0.5294117647058824,1.782,1.435,True,True,True,True
149,12150,20,7,0.35,2.732,1.477,True,True,True,True
151,12150,24,5,0.20833333333333334,2.568,0.989,True,True,True,True
162,12321,84,100,1.1904761904761905,7.058,4.604,True,False,False,False
166,12321,28,44,1.5714285714285714,3.365,5.951,True,True,True,True
180,12426,20,2,0.1,2.011,0.593,True,True,True,True
181,12426,19,3,0.15789473684210525,2.008,0.581,True,True,True,True
183,12426,19,5,0.2631578947368421,1.941,0.958,True,True,True,False
193,12483,19,9,0.47368421052631576,2.351,1.145,True,True,True,True
197,12524,18,3,0.16666666666666666,1.977,0.458,True,True,True,False
208,12534,19,3,0.15789473684210525,2.216,0.687,True,True,True,True
218,12534,27,3,0.1111111111111111,3.987,0.78,True,True,True,True
220,12534,27,3,0.1111111111111111,3.892,0.489,True,True,True,True
222,12551,32,24,0.75,3.35,3.022,True,True,True,True
224,12551,19,3,0.15789473684210525,1.996,0.553,True,True,True,True
232,12551,19,3,0.15789473684210525,2.589,0.48,True,True,True,False
235,12551,13,3,0.23076923076923078,1.717,0.459,True,True,True,False
