# checkpoint=results/bilinear_warmup/random/N2000/seed42/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.3333  bootstrap_ci95=[0.3158, 0.3529]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,15,9,0.6,1.405,1.026,True,True,True,True
21,11815,17,13,0.7647058823529411,1.822,1.945,True,True,True,False
24,11816,50,31,0.62,6.197,3.398,True,True,True,False
26,11816,16,5,0.3125,1.379,0.725,True,True,True,True
27,11816,20,8,0.4,2.24,0.979,True,True,True,True
29,11816,21,7,0.3333333333333333,2.037,0.873,True,True,True,True
34,11816,18,4,0.2222222222222222,1.919,0.547,True,True,True,True
39,11816,19,10,0.5263157894736842,2.041,1.561,True,True,True,True
53,11818,14,7,0.5,1.259,0.801,True,True,True,True
54,11818,14,4,0.2857142857142857,1.157,0.599,True,True,True,False
56,11818,14,4,0.2857142857142857,1.03,0.455,True,True,True,False
65,11840,16,9,0.5625,1.553,1.645,True,True,True,False
71,11840,19,5,0.2631578947368421,1.829,0.732,True,True,True,True
73,11840,26,4,0.15384615384615385,3.236,0.668,True,True,True,True
75,11840,19,5,0.2631578947368421,1.979,0.956,True,True,True,True
85,11840,16,4,0.25,1.887,0.626,True,True,True,True
86,11840,19,4,0.21052631578947367,2.387,0.593,True,True,True,True
88,11840,16,3,0.1875,1.704,0.525,True,True,True,True
89,11840,15,2,0.13333333333333333,1.679,0.575,True,True,True,True
102,12089,16,11,0.6875,1.727,1.304,True,True,True,True
107,12089,14,4,0.2857142857142857,1.305,0.65,True,True,True,False
117,12089,22,4,0.18181818181818182,2.232,0.674,True,True,True,True
129,12100,22,4,0.18181818181818182,2.585,0.701,True,True,True,True
130,12100,23,9,0.391304347826087,2.103,1.089,True,True,True,True
132,12100,17,4,0.23529411764705882,1.687,0.538,True,True,True,True
140,12101,23,4,0.17391304347826086,2.877,1.156,True,True,True,False
143,12101,17,3,0.17647058823529413,1.664,0.747,True,True,True,True
149,12150,20,4,0.2,2.224,0.878,True,True,True,True
151,12150,24,3,0.125,3.03,0.741,True,True,True,True
162,12321,84,100,1.1904761904761905,7.394,9.247,True,False,False,False
166,12321,28,17,0.6071428571428571,3.813,2.829,True,True,True,True
180,12426,20,5,0.25,1.638,0.563,True,True,True,True
181,12426,19,3,0.15789473684210525,1.685,0.629,True,True,True,True
183,12426,19,5,0.2631578947368421,1.911,0.774,True,True,True,False
193,12483,19,9,0.47368421052631576,2.234,0.864,True,True,True,True
197,12524,18,4,0.2222222222222222,1.565,0.433,True,True,True,True
208,12534,19,4,0.21052631578947367,2.035,0.768,True,True,True,True
218,12534,27,5,0.18518518518518517,4.249,1.197,True,True,True,True
220,12534,27,9,0.3333333333333333,3.541,1.319,True,True,True,True
222,12551,32,30,0.9375,3.17,4.55,True,True,True,True
224,12551,19,7,0.3684210526315789,2.036,1.266,True,True,True,True
232,12551,19,3,0.15789473684210525,2.149,0.631,True,True,True,True
235,12551,13,5,0.38461538461538464,1.291,0.577,True,True,True,True
241,12551,18,7,0.3888888888888889,2.218,1.315,True,True,True,True
248,12776,16,5,0.3125,1.776,0.781,True,True,True,False
251,12776,29,6,0.20689655172413793,3.893,1.091,True,True,True,True
255,12776,28,11,0.39285714285714285,3.362,1.219,True,True,True,True
258,12790,34,30,0.8823529411764706,3.535,3.163,True,True,True,True
261,12790,17,4,0.23529411764705882,1.488,1.102,True,True,True,True
273,12798,17,7,0.4117647058823529,1.595,0.784,True,True,True,False
278,12798,18,3,0.16666666666666666,2.108,0.514,True,True,True,True
284,12798,17,13,0.7647058823529411,1.692,1.408,True,True,True,True
299,12804,20,3,0.15,1.927,0.704,True,True,True,True
307,12839,18,4,0.2222222222222222,1.933,0.567,True,True,True,False
312,12839,15,3,0.2,1.501,0.628,True,True,True,True
315,12863,17,3,0.17647058823529413,1.91,0.762,True,True,True,True
319,12863,18,14,0.7777777777777778,1.734,2.332,True,True,True,False
325,12863,15,6,0.4,1.867,1.082,True,True,True,True
326,12863,15,5,0.3333333333333333,1.656,0.948,True,True,True,True
329,12863,16,7,0.4375,1.199,0.932,True,True,True,True
331,12863,27,9,0.3333333333333333,3.138,1.262,True,True,True,True
337,12906,22,8,0.36363636363636365,1.719,0.562,True,True,True,True
340,12906,20,4,0.2,2.314,0.766,True,True,True,True
343,12906,25,8,0.32,2.638,1.012,True,True,True,True
344,12936,-1,-1,nan,0.0,0.0,False,False,False,
345,12936,20,5,0.25,2.47,0.835,True,True,True,True
364,12959,16,5,0.3125,1.495,0.849,True,True,True,False
365,12959,20,4,0.2,2.163,0.562,True,True,True,True
366,12961,-1,-1,nan,0.0,0.0,False,False,False,
369,12961,17,3,0.17647058823529413,1.599,0.446,True,True,True,True
373,12961,16,5,0.3125,1.69,0.624,True,True,True,True
380,13012,28,30,1.0714285714285714,2.828,2.746,True,True,True,True
381,13012,20,5,0.25,1.906,0.676,True,True,True,True
384,13012,17,2,0.11764705882352941,1.898,0.642,True,True,True,True
390,13012,27,5,0.18518518518518517,3.873,0.92,True,True,True,True
392,13012,15,5,0.3333333333333333,1.629,0.641,True,True,True,False
395,13014,16,12,0.75,1.247,1.287,True,True,True,True
405,13014,20,11,0.55,2.452,0.72,True,True,True,False
406,13014,19,17,0.8947368421052632,2.031,1.864,True,True,True,False
412,13014,30,13,0.43333333333333335,4.014,0.942,True,True,True,False
414,13014,14,46,3.2857142857142856,1.143,9.912,True,True,True,False
419,13016,17,4,0.23529411764705882,1.695,0.635,True,True,True,False
420,13016,17,9,0.5294117647058824,1.885,1.599,True,True,True,False
425,13029,17,4,0.23529411764705882,1.754,0.738,True,True,True,True
428,13029,28,6,0.21428571428571427,3.604,1.008,True,True,True,True
430,13029,19,4,0.21052631578947367,2.013,0.474,True,True,True,False
432,13058,16,6,0.375,1.455,0.695,True,True,True,True
436,13058,23,11,0.4782608695652174,2.018,1.58,True,True,True,True
439,13103,35,31,0.8857142857142857,2.977,1.887,True,True,True,True
441,13103,16,3,0.1875,1.512,0.638,True,True,True,False
