# checkpoint=results/morph_Ti_adapted/pretrained_frozen/seed42/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.4000  bootstrap_ci95=[0.3750, 0.4211]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,15,11,0.7333333333333333,1.723,1.627,True,True,True,True
21,11815,17,17,1.0,2.271,2.891,True,True,True,True
24,11816,50,0,0.0,5.887,0.657,True,False,False,False
26,11816,16,10,0.625,1.615,1.327,True,True,True,False
27,11816,20,7,0.35,2.469,1.048,True,True,True,True
29,11816,-1,-1,nan,0.0,0.0,False,False,False,
34,11816,18,7,0.3888888888888889,2.941,1.26,True,True,True,True
39,11816,19,8,0.42105263157894735,2.289,1.407,True,True,True,True
53,11818,-1,-1,nan,0.0,0.0,False,False,False,
54,11818,14,0,0.0,1.587,0.641,True,False,False,False
56,11818,14,5,0.35714285714285715,1.53,0.651,True,True,True,True
65,11840,16,6,0.375,2.094,0.922,True,True,True,False
71,11840,19,14,0.7368421052631579,2.389,1.909,True,True,True,True
73,11840,26,11,0.4230769230769231,3.322,1.388,True,True,True,True
75,11840,19,14,0.7368421052631579,2.303,2.158,True,True,True,True
85,11840,16,13,0.8125,1.701,3.066,True,True,True,True
86,11840,19,5,0.2631578947368421,2.389,0.672,True,True,True,False
88,11840,16,6,0.375,1.941,0.685,True,True,True,False
89,11840,15,5,0.3333333333333333,1.727,0.695,True,True,True,True
102,12089,16,6,0.375,1.885,0.551,True,True,True,True
107,12089,14,0,0.0,1.546,0.577,True,False,False,False
117,12089,22,0,0.0,1.833,0.574,True,False,False,False
129,12100,22,7,0.3181818181818182,2.157,0.898,True,True,True,True
130,12100,23,5,0.21739130434782608,2.107,0.557,True,True,True,True
132,12100,17,9,0.5294117647058824,1.694,1.567,True,True,True,True
140,12101,23,4,0.17391304347826086,2.438,0.838,True,True,True,True
143,12101,17,9,0.5294117647058824,2.345,2.279,True,True,True,True
149,12150,20,6,0.3,2.754,1.136,True,True,True,False
151,12150,24,6,0.25,4.048,0.882,True,True,True,False
162,12321,-1,-1,nan,0.0,0.0,False,False,False,
166,12321,28,18,0.6428571428571429,3.964,2.547,True,True,True,True
180,12426,20,5,0.25,2.183,0.98,True,True,True,True
181,12426,19,9,0.47368421052631576,2.15,1.153,True,True,True,True
183,12426,19,12,0.631578947368421,2.389,1.21,True,True,True,False
193,12483,19,12,0.631578947368421,3.092,1.307,True,True,True,True
197,12524,18,5,0.2777777777777778,1.938,0.803,True,True,True,True
208,12534,19,0,0.0,2.693,0.561,True,False,False,False
218,12534,-1,-1,nan,0.0,0.0,False,False,False,
220,12534,27,0,0.0,3.828,0.674,True,False,False,False
222,12551,32,56,1.75,3.005,6.612,True,True,True,True
224,12551,19,0,0.0,2.585,0.434,True,False,False,False
232,12551,19,8,0.42105263157894735,3.259,0.946,True,True,True,False
235,12551,13,3,0.23076923076923078,1.346,0.714,True,True,True,True
241,12551,18,0,0.0,2.12,0.674,True,False,False,False
248,12776,16,4,0.25,2.473,0.948,True,True,True,False
251,12776,29,6,0.20689655172413793,5.015,1.212,True,True,True,True
255,12776,28,4,0.14285714285714285,4.4,1.012,True,True,True,True
258,12790,-1,-1,nan,0.0,0.0,False,False,False,
261,12790,17,3,0.17647058823529413,1.743,0.538,True,True,True,False
273,12798,17,4,0.23529411764705882,1.593,0.781,True,True,True,False
278,12798,18,13,0.7222222222222222,1.537,1.247,True,True,True,True
284,12798,17,5,0.29411764705882354,2.045,1.3,True,True,True,True
299,12804,20,3,0.15,2.019,0.989,True,True,True,True
307,12839,-1,-1,nan,0.0,0.0,False,False,False,
312,12839,15,0,0.0,1.695,0.709,True,False,False,False
