# checkpoint=results/upsamp_frozen/pretrained/N6000/seed0/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.3889  bootstrap_ci95=[0.3750, 0.4118]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,15,15,1.0,1.647,2.661,True,True,True,True
21,11815,17,21,1.2352941176470589,2.128,3.072,True,True,True,True
24,11816,50,0,0.0,5.935,0.39,True,False,False,False
26,11816,16,6,0.375,1.421,0.7,True,True,True,True
27,11816,20,14,0.7,1.786,1.707,True,True,True,True
29,11816,21,6,0.2857142857142857,2.454,1.773,True,True,True,True
34,11816,18,6,0.3333333333333333,1.838,0.789,True,True,True,True
39,11816,19,16,0.8421052631578947,2.186,2.532,True,True,True,True
53,11818,14,8,0.5714285714285714,1.5,1.031,True,True,True,True
54,11818,14,3,0.21428571428571427,1.408,0.62,True,True,True,False
56,11818,14,4,0.2857142857142857,1.249,0.6,True,True,True,False
65,11840,16,5,0.3125,1.817,0.858,True,True,True,True
71,11840,19,10,0.5263157894736842,2.095,1.086,True,True,True,True
73,11840,26,5,0.19230769230769232,3.828,0.734,True,True,True,False
75,11840,-1,-1,nan,0.0,0.0,False,False,False,
85,11840,-1,-1,nan,0.0,0.0,False,False,False,
86,11840,19,8,0.42105263157894735,2.614,1.105,True,True,True,True
88,11840,16,9,0.5625,2.452,1.092,True,True,True,False
89,11840,15,11,0.7333333333333333,1.899,0.908,True,True,True,False
102,12089,16,7,0.4375,2.59,0.545,True,True,True,True
107,12089,14,4,0.2857142857142857,1.201,0.574,True,True,True,True
117,12089,22,13,0.5909090909090909,2.436,1.737,True,True,True,True
129,12100,22,8,0.36363636363636365,2.192,1.002,True,True,True,True
130,12100,23,11,0.4782608695652174,2.611,1.114,True,True,True,True
132,12100,17,0,0.0,1.372,0.409,True,False,False,False
140,12101,23,22,0.9565217391304348,2.454,2.276,True,True,True,True
143,12101,17,5,0.29411764705882354,1.9,0.686,True,True,True,True
149,12150,20,7,0.35,2.408,0.845,True,True,True,False
151,12150,24,8,0.3333333333333333,2.548,0.822,True,True,True,True
162,12321,84,0,0.0,4.63,0.383,True,False,False,False
166,12321,28,16,0.5714285714285714,4.039,2.023,True,True,True,True
180,12426,20,14,0.7,1.75,2.109,True,True,True,True
181,12426,19,4,0.21052631578947367,2.093,0.608,True,True,True,True
183,12426,19,6,0.3157894736842105,1.781,0.594,True,True,True,False
193,12483,19,7,0.3684210526315789,2.558,0.564,True,True,True,True
197,12524,18,5,0.2777777777777778,2.044,0.929,True,True,True,True
208,12534,19,9,0.47368421052631576,2.154,1.411,True,True,True,True
218,12534,27,4,0.14814814814814814,3.877,0.754,True,True,True,True
220,12534,27,3,0.1111111111111111,3.687,0.525,True,True,True,True
222,12551,32,50,1.5625,2.697,6.268,True,True,True,True
224,12551,19,8,0.42105263157894735,1.745,1.136,True,True,True,True
232,12551,19,4,0.21052631578947367,2.093,0.476,True,True,True,False
235,12551,13,6,0.46153846153846156,1.348,0.891,True,True,True,True
241,12551,18,7,0.3888888888888889,1.955,0.868,True,True,True,True
248,12776,16,5,0.3125,2.034,0.734,True,True,True,False
251,12776,29,12,0.41379310344827586,3.812,1.213,True,True,True,True
255,12776,28,11,0.39285714285714285,4.316,1.403,True,True,True,True
258,12790,34,22,0.6470588235294118,4.449,1.857,True,True,True,True
261,12790,17,4,0.23529411764705882,1.891,0.765,True,True,True,False
273,12798,17,3,0.17647058823529413,1.893,0.436,True,True,True,False
278,12798,18,4,0.2222222222222222,2.02,0.566,True,True,True,True
284,12798,17,14,0.8235294117647058,1.793,2.287,True,True,True,False
299,12804,20,8,0.4,1.633,1.249,True,True,True,True
307,12839,18,7,0.3888888888888889,2.051,0.662,True,True,True,True
312,12839,15,7,0.4666666666666667,1.255,0.985,True,True,True,True
315,12863,17,3,0.17647058823529413,1.962,0.444,True,True,True,True
319,12863,18,5,0.2777777777777778,1.244,0.438,True,True,True,True
325,12863,-1,-1,nan,0.0,0.0,False,False,False,
326,12863,15,0,0.0,1.271,0.5,True,False,False,False
329,12863,16,7,0.4375,2.018,1.31,True,True,True,True
331,12863,27,10,0.37037037037037035,3.437,1.451,True,True,True,True
337,12906,22,8,0.36363636363636365,2.117,0.82,True,True,True,False
340,12906,20,4,0.2,2.327,0.823,True,True,True,True
343,12906,25,7,0.28,2.738,0.887,True,True,True,True
344,12936,44,0,0.0,4.305,0.663,True,False,False,False
345,12936,20,5,0.25,2.046,0.807,True,True,True,False
364,12959,16,6,0.375,1.308,0.707,True,True,True,True
365,12959,20,11,0.55,2.083,0.709,True,True,True,True
366,12961,57,9,0.15789473684210525,6.385,0.591,True,True,True,True
369,12961,17,0,0.0,1.368,0.379,True,False,False,False
373,12961,16,-1,nan,1.786,0.0,True,False,False,
380,13012,28,33,1.1785714285714286,2.783,2.608,True,True,True,True
381,13012,-1,-1,nan,0.0,0.0,False,False,False,
384,13012,17,0,0.0,1.473,0.482,True,False,False,False
390,13012,27,5,0.18518518518518517,3.682,0.915,True,True,True,True
392,13012,15,6,0.4,1.793,0.868,True,True,True,False
395,13014,16,9,0.5625,1.71,0.734,True,True,True,True
405,13014,20,14,0.7,2.003,1.054,True,True,True,True
406,13014,-1,-1,nan,0.0,0.0,False,False,False,
412,13014,30,22,0.7333333333333333,5.769,2.736,True,True,True,False
414,13014,14,18,1.2857142857142858,1.259,1.876,True,True,True,False
419,13016,17,3,0.17647058823529413,1.801,0.75,True,True,True,True
420,13016,17,3,0.17647058823529413,1.821,0.555,True,True,True,False
425,13029,17,7,0.4117647058823529,1.428,0.743,True,True,True,False
428,13029,28,7,0.25,3.433,0.707,True,True,True,True
430,13029,19,3,0.15789473684210525,2.156,0.463,True,True,True,False
432,13058,16,7,0.4375,1.65,0.939,True,True,True,True
436,13058,23,8,0.34782608695652173,2.077,0.865,True,True,True,True
439,13103,35,28,0.8,2.662,2.113,True,True,True,True
441,13103,16,4,0.25,1.741,0.764,True,True,True,True
451,13103,18,15,0.8333333333333334,2.23,2.212,True,True,True,True
452,13103,25,10,0.4,2.966,1.692,True,True,True,True
454,13103,16,14,0.875,1.707,1.714,True,True,True,True
455,13103,27,14,0.5185185185185185,3.599,1.907,True,True,True,True
466,13115,-1,-1,nan,0.0,0.0,False,False,False,
471,13224,22,0,0.0,2.678,0.888,True,False,False,False
472,13224,16,12,0.75,1.578,1.824,True,True,True,True
473,13224,22,7,0.3181818181818182,2.185,0.704,True,True,True,True
476,13224,16,5,0.3125,1.822,0.661,True,True,True,True
481,13224,23,8,0.34782608695652173,2.251,1.2,True,True,True,True
484,13292,27,6,0.2222222222222222,3.5,0.846,True,True,True,True
493,13292,15,0,0.0,1.592,0.423,True,False,False,False
494,13292,16,3,0.1875,1.726,0.688,True,True,True,True
496,13292,-1,-1,nan,0.0,0.0,False,False,False,
506,13327,16,11,0.6875,1.861,1.941,True,True,True,True
513,13327,24,19,0.7916666666666666,3.09,2.289,True,True,True,True
515,13327,27,22,0.8148148148148148,3.784,3.799,True,True,True,True
524,13358,27,21,0.7777777777777778,3.494,2.182,True,True,True,True
525,13358,25,3,0.12,3.5,0.558,True,True,True,False
528,13358,17,8,0.47058823529411764,1.627,1.204,True,True,True,True
536,13406,16,9,0.5625,1.276,0.996,True,True,True,False
541,13406,20,0,0.0,2.639,0.5,True,False,False,False
542,13406,15,5,0.3333333333333333,1.332,0.483,True,True,True,True
543,13406,15,6,0.4,1.664,1.274,True,True,True,False
545,13406,15,4,0.26666666666666666,1.816,0.939,True,True,True,False
546,13406,13,5,0.38461538461538464,1.088,0.896,True,True,True,True
548,13419,28,12,0.42857142857142855,2.199,0.899,True,True,True,True
556,13419,17,5,0.29411764705882354,2.053,0.711,True,True,True,False
563,13419,26,9,0.34615384615384615,2.512,1.1,True,True,True,True
564,13419,39,14,0.358974358974359,5.629,2.085,True,True,True,True
565,13419,19,6,0.3157894736842105,1.946,0.445,True,True,True,True
566,13419,-1,-1,nan,0.0,0.0,False,False,False,
571,13452,32,16,0.5,3.223,2.45,True,True,True,True
573,13452,-1,-1,nan,0.0,0.0,False,False,False,
578,13452,26,3,0.11538461538461539,2.573,0.959,True,True,True,True
585,13729,-1,-1,nan,0.0,0.0,False,False,False,
595,13729,29,11,0.3793103448275862,4.755,1.906,True,True,True,True
596,13729,19,13,0.6842105263157895,2.176,1.741,True,True,True,True
598,13729,14,4,0.2857142857142857,0.991,0.444,True,True,True,True
601,13729,20,7,0.35,2.867,1.08,True,True,True,True
602,13729,14,6,0.42857142857142855,1.362,1.085,True,True,True,True
608,13729,19,6,0.3157894736842105,1.795,0.631,True,True,True,False
609,13729,21,4,0.19047619047619047,1.814,0.518,True,True,True,False
610,13729,-1,-1,nan,0.0,0.0,False,False,False,
611,13729,-1,-1,nan,0.0,0.0,False,False,False,
617,13951,48,0,0.0,4.002,0.5,True,False,False,False
618,13951,29,5,0.1724137931034483,3.242,0.615,True,True,True,True
619,13951,-1,-1,nan,0.0,0.0,False,False,False,
620,13951,25,0,0.0,2.214,0.387,True,False,False,False
635,14009,19,5,0.2631578947368421,1.442,0.766,True,True,True,False
639,14009,20,0,0.0,2.03,0.424,True,False,False,False
642,14009,15,4,0.26666666666666666,1.714,0.657,True,True,True,True
644,14009,16,3,0.1875,1.326,0.621,True,True,True,True
651,14009,16,0,0.0,2.121,0.659,True,False,False,False
653,14231,22,8,0.36363636363636365,1.638,0.55,True,True,True,True
659,14231,20,13,0.65,1.89,1.376,True,True,True,True
665,14231,15,15,1.0,1.306,1.032,True,True,True,True
668,14308,17,6,0.35294117647058826,1.659,0.789,True,True,True,True
672,14308,18,11,0.6111111111111112,1.47,1.47,True,True,True,True
682,14308,33,6,0.18181818181818182,4.11,0.957,True,True,True,True
684,14341,20,3,0.15,1.593,0.516,True,True,True,False
685,14341,16,5,0.3125,1.279,0.641,True,True,True,False
686,14341,17,4,0.23529411764705882,1.54,0.796,True,True,True,False
687,14341,18,4,0.2222222222222222,1.943,0.866,True,True,True,True
693,14341,17,5,0.29411764705882354,1.253,0.564,True,True,True,False
694,14341,-1,-1,nan,0.0,0.0,False,False,False,
701,14573,19,0,0.0,1.718,0.445,True,False,False,False
704,14573,22,6,0.2727272727272727,1.89,0.815,True,True,True,True
705,14573,17,11,0.6470588235294118,1.312,1.482,True,True,True,True
706,14573,16,5,0.3125,1.367,0.794,True,True,True,False
707,14573,17,0,0.0,1.343,0.612,True,False,False,False
708,14573,17,5,0.29411764705882354,1.319,0.728,True,True,True,True
709,14580,56,0,0.0,5.937,0.463,True,False,False,False
722,14585,17,3,0.17647058823529413,1.536,0.664,True,True,True,True
724,14585,15,3,0.2,1.26,0.766,True,True,True,True
725,14585,18,7,0.3888888888888889,2.513,1.012,True,True,True,True
726,14585,16,3,0.1875,2.107,0.628,True,True,True,False
731,14585,17,5,0.29411764705882354,1.725,0.758,True,True,True,False
734,14585,20,9,0.45,2.283,1.911,True,True,True,False
735,14585,16,4,0.25,1.467,0.678,True,True,True,True
736,14585,19,6,0.3157894736842105,1.765,0.613,True,True,True,True
738,14614,23,18,0.782608695652174,2.869,2.162,True,True,True,True
747,14614,39,19,0.48717948717948717,5.065,2.559,True,True,True,True
749,14614,35,26,0.7428571428571429,4.269,3.153,True,True,True,True
751,14624,21,3,0.14285714285714285,1.953,0.661,True,False,False,False
763,14648,14,8,0.5714285714285714,1.005,0.811,True,True,True,False
766,14648,15,0,0.0,1.583,0.703,True,False,False,False
777,14803,16,7,0.4375,1.704,1.066,True,True,True,False
785,14982,21,15,0.7142857142857143,1.511,1.198,True,True,True,True
790,14982,16,10,0.625,1.271,1.265,True,True,True,True
796,14982,15,4,0.26666666666666666,1.282,0.764,True,True,True,False
804,15017,18,5,0.2777777777777778,2.073,1.048,True,True,True,False
810,15017,16,6,0.375,1.484,0.703,True,True,True,True
815,15017,22,8,0.36363636363636365,3.427,0.89,True,True,True,False
816,15017,-1,-1,nan,0.0,0.0,False,False,False,
818,15024,20,4,0.2,2.273,0.799,True,True,True,True
838,15246,15,7,0.4666666666666667,1.392,0.667,True,True,True,True
847,15246,24,5,0.20833333333333334,2.538,0.692,True,True,True,False
872,15587,18,8,0.4444444444444444,2.044,1.577,True,True,True,False
874,15587,17,6,0.35294117647058826,1.938,0.908,True,True,True,True
877,15587,19,16,0.8421052631578947,1.824,2.097,True,True,True,True
890,15601,19,5,0.2631578947368421,2.113,0.864,True,True,True,False
891,15601,18,5,0.2777777777777778,1.322,0.444,True,True,True,True
898,15601,22,12,0.5454545454545454,2.259,1.557,True,True,True,True
899,15601,18,7,0.3888888888888889,2.103,1.228,True,True,True,True
914,15674,52,8,0.15384615384615385,6.13,0.807,True,True,True,True
915,15674,33,100,3.0303030303030303,3.296,10.309,True,False,False,False
916,15674,50,7,0.14,7.4,1.199,True,True,True,False
917,15674,24,100,4.166666666666667,3.238,14.401,True,False,False,False
918,15674,34,60,1.7647058823529411,4.531,8.788,True,True,True,True
927,15695,22,5,0.22727272727272727,2.302,0.711,True,True,True,False
934,15758,21,27,1.2857142857142858,2.443,3.118,True,True,True,True
942,15815,18,10,0.5555555555555556,1.653,1.467,True,True,True,False
963,15958,66,0,0.0,5.342,0.547,True,False,False,False
964,16189,30,18,0.6,3.05,1.751,True,True,True,True
969,16189,23,3,0.13043478260869565,2.47,0.63,True,True,True,True
974,16189,17,0,0.0,2.014,0.623,True,False,False,False
986,16223,56,0,0.0,5.85,0.427,True,False,False,False
996,16223,15,9,0.6,1.428,0.929,True,True,True,True
999,16223,16,10,0.625,1.518,1.089,True,True,True,False
1000,16223,19,11,0.5789473684210527,2.08,1.024,True,True,True,True
1006,16266,19,4,0.21052631578947367,1.777,0.53,True,True,True,False
1010,16266,28,0,0.0,3.029,0.474,True,False,False,False
1011,16266,20,5,0.25,1.902,0.641,True,True,True,True
1019,16288,19,7,0.3684210526315789,2.066,0.671,True,True,True,False
1023,16288,100,41,0.41,15.82,6.525,False,True,False,False
1025,16288,13,5,0.38461538461538464,1.56,1.292,True,True,True,False
1027,16360,48,0,0.0,5.565,0.397,True,False,False,False
1031,16360,16,8,0.5,1.808,0.907,True,True,True,False
1032,16360,15,13,0.8666666666666667,1.562,1.471,True,True,True,False
1037,16360,17,5,0.29411764705882354,1.39,0.522,True,True,True,False
1044,16360,21,5,0.23809523809523808,2.829,0.712,True,True,True,True
1045,16360,14,6,0.42857142857142855,1.497,0.794,True,True,True,True
1051,16382,37,0,0.0,2.356,0.698,True,False,False,False
1054,16382,17,6,0.35294117647058826,1.616,0.746,True,True,True,False
1060,16382,17,4,0.23529411764705882,1.199,0.912,True,True,True,True
1068,16385,28,20,0.7142857142857143,3.811,2.777,True,True,True,True
1072,16385,17,5,0.29411764705882354,1.692,0.571,True,True,True,True
1076,16406,28,13,0.4642857142857143,2.965,1.716,True,True,True,True
1081,16406,17,0,0.0,1.893,0.553,True,False,False,False
1082,16406,15,4,0.26666666666666666,1.722,1.03,True,True,True,False
1086,16406,12,3,0.25,1.382,0.48,True,True,True,False
1103,16407,14,12,0.8571428571428571,1.598,1.387,True,True,True,False
1104,16407,14,0,0.0,1.374,0.443,True,False,False,False
1105,16407,15,0,0.0,1.632,0.497,True,False,False,False
1117,16473,19,3,0.15789473684210525,2.351,0.835,True,True,True,True
1119,16473,16,4,0.25,1.199,0.557,True,True,True,True
1126,16579,33,12,0.36363636363636365,4.271,1.993,True,True,True,False
1137,16945,15,5,0.3333333333333333,1.697,0.558,True,True,True,False
1138,16945,15,5,0.3333333333333333,1.1,1.055,True,True,True,False
1139,16945,42,18,0.42857142857142855,4.652,2.567,True,True,True,True
1141,16945,15,3,0.2,1.247,0.573,True,True,True,False
1144,16945,49,100,2.0408163265306123,6.718,15.649,True,False,False,False
1153,16974,26,6,0.23076923076923078,2.682,0.424,True,True,True,False
1158,16974,18,7,0.3888888888888889,1.704,0.776,True,True,True,False
1160,16974,21,7,0.3333333333333333,1.919,1.028,True,True,True,True
1163,16974,17,3,0.17647058823529413,1.812,0.66,True,True,True,True
1165,16974,15,7,0.4666666666666667,1.095,0.51,True,True,True,False
1170,16974,15,5,0.3333333333333333,1.544,0.79,True,True,True,False
1176,16993,45,0,0.0,5.145,0.466,True,False,False,False
1177,16993,94,0,0.0,10.009,0.611,True,False,False,False
1182,16993,18,4,0.2222222222222222,1.798,0.524,True,True,True,True
1188,16993,15,7,0.4666666666666667,1.559,0.953,True,True,True,True
1191,16993,17,0,0.0,1.576,0.611,True,False,False,False
1192,16993,15,11,0.7333333333333333,1.333,1.564,True,True,True,True
1193,16993,15,0,0.0,1.676,0.593,True,False,False,False
