# checkpoint=results/morph_adapted_warmup/pretrained_warmup_llrd_lr6_seed42/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.3684  bootstrap_ci95=[0.3333, 0.4000]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,-1,-1,nan,0.0,0.0,False,False,False,
21,11815,17,8,0.47058823529411764,2.035,1.612,True,True,True,True
24,11816,50,0,0.0,7.632,0.592,True,False,False,False
26,11816,16,9,0.5625,1.468,0.609,True,True,True,True
27,11816,20,12,0.6,2.203,2.568,True,True,True,True
29,11816,21,13,0.6190476190476191,2.883,2.153,True,True,True,True
34,11816,18,7,0.3888888888888889,1.315,0.845,True,True,True,True
39,11816,19,20,1.0526315789473684,2.517,3.21,True,True,True,True
53,11818,14,13,0.9285714285714286,1.954,1.422,True,True,True,True
54,11818,14,8,0.5714285714285714,1.316,0.87,True,True,True,False
56,11818,14,7,0.5,1.741,0.966,True,True,True,True
65,11840,16,7,0.4375,2.298,1.335,True,True,True,False
71,11840,19,15,0.7894736842105263,1.904,1.367,True,True,True,True
73,11840,26,9,0.34615384615384615,4.096,1.336,True,True,True,False
75,11840,19,4,0.21052631578947367,2.208,0.585,True,True,True,True
85,11840,16,3,0.1875,1.892,0.621,True,True,True,True
86,11840,19,5,0.2631578947368421,2.696,0.749,True,True,True,True
88,11840,16,8,0.5,2.225,1.578,True,True,True,False
89,11840,15,5,0.3333333333333333,1.652,0.841,True,True,True,False
102,12089,16,8,0.5,1.927,0.942,True,True,True,False
107,12089,14,4,0.2857142857142857,1.264,0.642,True,True,True,False
117,12089,22,3,0.13636363636363635,2.55,0.629,True,True,True,True
129,12100,22,0,0.0,3.324,0.756,True,False,False,False
130,12100,23,5,0.21739130434782608,2.667,0.87,True,True,True,True
132,12100,17,5,0.29411764705882354,1.687,0.458,True,True,True,True
140,12101,23,11,0.4782608695652174,3.239,2.073,True,True,True,False
143,12101,17,9,0.5294117647058824,2.209,1.98,True,True,True,True
149,12150,20,8,0.4,2.373,1.537,True,True,True,True
151,12150,24,7,0.2916666666666667,2.511,1.804,True,True,True,True
162,12321,-1,-1,nan,0.0,0.0,False,False,False,
166,12321,28,33,1.1785714285714286,4.59,5.863,True,True,True,True
180,12426,20,3,0.15,2.04,0.521,True,True,True,True
181,12426,19,7,0.3684210526315789,1.885,0.964,True,True,True,False
183,12426,19,7,0.3684210526315789,2.669,1.526,True,True,True,True
193,12483,19,10,0.5263157894736842,2.687,1.006,True,True,True,True
197,12524,18,5,0.2777777777777778,2.098,0.661,True,True,True,False
208,12534,19,4,0.21052631578947367,2.086,0.785,True,True,True,True
218,12534,27,6,0.2222222222222222,4.02,0.812,True,True,True,True
220,12534,27,4,0.14814814814814814,3.773,0.778,True,True,True,True
222,12551,32,0,0.0,3.176,0.52,True,False,False,False
224,12551,19,3,0.15789473684210525,2.146,0.699,True,True,True,True
232,12551,19,3,0.15789473684210525,2.363,0.646,True,True,True,False
235,12551,13,5,0.38461538461538464,1.626,0.916,True,True,True,False
241,12551,18,0,0.0,3.159,0.656,True,False,False,False
248,12776,-1,-1,nan,0.0,0.0,False,False,False,
251,12776,29,0,0.0,4.928,0.58,True,False,False,False
255,12776,-1,-1,nan,0.0,0.0,False,False,False,
258,12790,34,26,0.7647058823529411,4.157,3.0,True,True,True,True
261,12790,17,0,0.0,1.7,0.552,True,False,False,False
273,12798,17,8,0.47058823529411764,1.674,0.889,True,True,True,False
278,12798,18,9,0.5,1.899,0.859,True,True,True,True
284,12798,17,5,0.29411764705882354,1.939,1.081,True,True,True,True
299,12804,20,6,0.3,2.397,0.857,True,True,True,False
307,12839,18,11,0.6111111111111112,2.246,1.682,True,True,True,False
312,12839,15,13,0.8666666666666667,1.694,1.877,True,True,True,False
315,12863,17,0,0.0,1.98,0.461,True,False,False,False
319,12863,18,5,0.2777777777777778,2.472,1.04,True,True,True,True
325,12863,15,6,0.4,1.686,0.67,True,True,True,True
326,12863,15,11,0.7333333333333333,2.333,1.146,True,True,True,False
329,12863,16,3,0.1875,1.88,0.694,True,True,True,False
331,12863,27,5,0.18518518518518517,4.837,1.045,True,True,True,True
337,12906,22,6,0.2727272727272727,1.945,0.531,True,True,True,True
340,12906,20,3,0.15,2.216,0.573,True,True,True,True
343,12906,-1,-1,nan,0.0,0.0,False,False,False,
344,12936,44,0,0.0,3.731,0.895,True,False,False,False
345,12936,20,11,0.55,2.588,0.85,True,True,True,False
364,12959,16,6,0.375,1.621,1.218,True,True,True,False
365,12959,20,4,0.2,2.504,0.824,True,True,True,False
366,12961,57,10,0.17543859649122806,7.957,0.588,True,True,True,False
369,12961,17,7,0.4117647058823529,1.653,0.985,True,True,True,True
373,12961,16,0,0.0,1.376,0.629,True,False,False,False
380,13012,-1,-1,nan,0.0,0.0,False,False,False,
381,13012,20,4,0.2,2.733,0.736,True,True,True,True
384,13012,17,13,0.7647058823529411,1.809,1.536,True,True,True,True
390,13012,27,7,0.25925925925925924,2.773,0.95,True,True,True,False
392,13012,-1,-1,nan,0.0,0.0,False,False,False,
395,13014,16,9,0.5625,1.649,0.721,True,True,True,True
405,13014,20,15,0.75,2.899,0.833,True,True,True,False
406,13014,-1,-1,nan,0.0,0.0,False,False,False,
