# checkpoint=results/morph_adapted_warmup/pretrained_warmup_noLLRD_seed42/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.2667  bootstrap_ci95=[0.2500, 0.2857]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,-1,-1,nan,0.0,0.0,False,False,False,
21,11815,17,3,0.17647058823529413,2.177,0.591,True,True,True,False
24,11816,50,0,0.0,6.25,0.494,True,False,False,False
26,11816,16,12,0.75,1.052,1.67,True,True,True,True
27,11816,20,5,0.25,2.463,0.95,True,True,True,True
29,11816,21,11,0.5238095238095238,2.833,1.576,True,True,True,True
34,11816,18,0,0.0,2.179,0.588,True,False,False,False
39,11816,19,3,0.15789473684210525,2.182,0.65,True,True,True,False
53,11818,14,3,0.21428571428571427,1.038,0.413,True,True,True,True
54,11818,14,6,0.42857142857142855,1.211,1.127,True,True,True,False
56,11818,14,5,0.35714285714285715,1.307,0.908,True,True,True,False
65,11840,16,4,0.25,2.12,0.8,True,True,True,False
71,11840,19,15,0.7894736842105263,2.564,3.18,True,True,True,True
73,11840,26,6,0.23076923076923078,4.025,1.177,True,True,True,True
75,11840,19,5,0.2631578947368421,2.009,0.606,True,True,True,True
85,11840,16,6,0.375,1.765,0.704,True,True,True,True
86,11840,19,4,0.21052631578947367,3.135,0.652,True,True,True,True
88,11840,16,4,0.25,2.204,0.949,True,True,True,True
89,11840,15,4,0.26666666666666666,1.721,0.85,True,True,True,False
102,12089,16,0,0.0,2.052,0.557,True,False,False,False
107,12089,14,6,0.42857142857142855,1.417,0.85,True,True,True,False
117,12089,22,12,0.5454545454545454,2.844,1.738,True,True,True,True
129,12100,22,9,0.4090909090909091,2.012,1.013,True,True,True,True
130,12100,23,9,0.391304347826087,2.337,1.113,True,True,True,True
132,12100,17,3,0.17647058823529413,1.649,0.589,True,True,True,True
140,12101,23,3,0.13043478260869565,3.789,0.761,True,True,True,True
143,12101,17,9,0.5294117647058824,1.831,1.782,True,True,True,True
149,12150,20,7,0.35,2.889,1.282,True,True,True,True
151,12150,-1,-1,nan,0.0,0.0,False,False,False,
162,12321,84,0,0.0,6.71,0.5,True,False,False,False
166,12321,28,13,0.4642857142857143,4.375,1.491,True,True,True,False
180,12426,20,2,0.1,2.302,0.466,True,True,True,True
181,12426,19,4,0.21052631578947367,1.938,0.863,True,True,True,False
183,12426,19,3,0.15789473684210525,1.527,0.954,True,True,True,True
193,12483,19,7,0.3684210526315789,2.95,0.783,True,True,True,True
197,12524,18,3,0.16666666666666666,1.818,0.786,True,True,True,True
208,12534,19,4,0.21052631578947367,2.61,0.761,True,True,True,True
218,12534,-1,-1,nan,0.0,0.0,False,False,False,
220,12534,27,5,0.18518518518518517,3.975,0.857,True,True,True,False
222,12551,32,10,0.3125,4.48,1.066,True,True,True,True
224,12551,19,4,0.21052631578947367,1.648,0.514,True,True,True,True
232,12551,19,0,0.0,2.622,0.986,True,False,False,False
235,12551,13,8,0.6153846153846154,1.456,0.941,True,True,True,False
241,12551,-1,-1,nan,0.0,0.0,False,False,False,
248,12776,16,5,0.3125,1.884,0.82,True,True,True,True
251,12776,29,4,0.13793103448275862,4.873,0.528,True,True,True,True
255,12776,28,7,0.25,4.174,0.998,True,True,True,False
258,12790,34,26,0.7647058823529411,4.022,2.887,True,True,True,True
