# checkpoint=results/morph_adapted_warmup/pretrained_warmup_llrd_N1000_seed42/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.3889  bootstrap_ci95=[0.3750, 0.4118]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,15,10,0.6666666666666666,1.599,0.96,True,True,True,True
21,11815,17,0,0.0,1.725,0.433,True,False,False,False
24,11816,50,0,0.0,6.526,0.681,True,False,False,False
26,11816,16,6,0.375,1.391,0.93,True,True,True,True
27,11816,20,17,0.85,2.859,2.334,True,True,True,True
29,11816,21,11,0.5238095238095238,2.681,2.304,True,True,True,True
34,11816,18,9,0.5,2.059,1.139,True,True,True,True
39,11816,-1,-1,nan,0.0,0.0,False,False,False,
53,11818,14,6,0.42857142857142855,1.442,1.274,True,True,True,True
54,11818,14,4,0.2857142857142857,1.488,0.507,True,True,True,False
56,11818,14,9,0.6428571428571429,0.983,0.893,True,True,True,False
65,11840,16,12,0.75,2.72,1.955,True,True,True,False
71,11840,19,6,0.3157894736842105,1.859,1.274,True,True,True,True
73,11840,26,0,0.0,3.89,0.592,True,False,False,False
75,11840,19,3,0.15789473684210525,1.833,0.723,True,True,True,True
85,11840,16,7,0.4375,1.452,1.072,True,True,True,True
86,11840,19,10,0.5263157894736842,2.832,2.393,True,True,True,False
88,11840,16,0,0.0,2.735,0.51,True,False,False,False
89,11840,-1,-1,nan,0.0,0.0,False,False,False,
102,12089,16,10,0.625,1.963,1.331,True,True,True,True
107,12089,-1,-1,nan,0.0,0.0,False,False,False,
117,12089,22,21,0.9545454545454546,2.014,2.741,True,True,True,True
129,12100,22,4,0.18181818181818182,2.715,0.594,True,True,True,False
130,12100,23,0,0.0,2.731,0.558,True,False,False,False
132,12100,17,0,0.0,1.546,0.481,True,False,False,False
140,12101,23,0,0.0,3.164,0.629,True,False,False,False
143,12101,17,6,0.35294117647058826,2.959,1.022,True,True,True,True
149,12150,-1,-1,nan,0.0,0.0,False,False,False,
151,12150,24,15,0.625,4.322,1.548,True,True,True,True
162,12321,84,100,1.1904761904761905,8.212,8.612,True,False,False,False
166,12321,28,0,0.0,4.546,0.535,True,False,False,False
180,12426,20,5,0.25,1.785,0.58,True,True,True,True
181,12426,19,10,0.5263157894736842,1.472,1.357,True,True,True,True
183,12426,19,4,0.21052631578947367,2.151,0.687,True,True,True,True
193,12483,19,12,0.631578947368421,2.857,0.947,True,True,True,True
197,12524,18,5,0.2777777777777778,1.576,0.575,True,True,True,False
208,12534,19,7,0.3684210526315789,2.208,0.826,True,True,True,True
218,12534,27,11,0.4074074074074074,5.621,1.751,True,True,True,False
220,12534,27,3,0.1111111111111111,4.194,0.465,True,True,True,True
222,12551,-1,-1,nan,0.0,0.0,False,False,False,
224,12551,-1,-1,nan,0.0,0.0,False,False,False,
232,12551,19,-1,nan,3.718,0.0,True,False,False,
235,12551,13,4,0.3076923076923077,1.882,0.819,True,True,True,False
241,12551,-1,-1,nan,0.0,0.0,False,False,False,
248,12776,16,15,0.9375,1.563,1.859,True,True,True,True
251,12776,29,10,0.3448275862068966,5.114,0.887,True,True,True,True
255,12776,28,7,0.25,5.309,1.629,True,True,True,True
258,12790,-1,-1,nan,0.0,0.0,False,False,False,
261,12790,17,6,0.35294117647058826,1.695,0.996,True,True,True,True
273,12798,17,0,0.0,1.378,0.53,True,False,False,False
278,12798,18,2,0.1111111111111111,2.954,0.613,True,True,True,True
284,12798,17,0,0.0,2.687,0.425,True,False,False,False
299,12804,20,5,0.25,2.161,0.758,True,True,True,True
307,12839,18,6,0.3333333333333333,2.204,1.022,True,True,True,True
312,12839,15,4,0.26666666666666666,1.322,0.943,True,True,True,False
315,12863,17,4,0.23529411764705882,1.899,0.746,True,True,True,True
319,12863,18,6,0.3333333333333333,1.558,0.725,True,True,True,True
325,12863,15,4,0.26666666666666666,1.201,0.524,True,True,True,True
326,12863,15,8,0.5333333333333333,1.374,1.195,True,True,True,False
329,12863,-1,-1,nan,0.0,0.0,False,False,False,
331,12863,27,6,0.2222222222222222,4.686,0.825,True,True,True,True
337,12906,22,6,0.2727272727272727,3.033,0.641,True,True,True,False
340,12906,20,0,0.0,2.129,0.573,True,False,False,False
343,12906,25,0,0.0,3.401,0.574,True,False,False,False
344,12936,44,0,0.0,4.189,0.62,True,False,False,False
345,12936,20,6,0.3,2.288,0.551,True,True,True,True
364,12959,16,4,0.25,1.862,0.978,True,True,True,True
365,12959,20,5,0.25,2.152,1.06,True,True,True,True
366,12961,-1,-1,nan,0.0,0.0,False,False,False,
369,12961,17,4,0.23529411764705882,1.616,0.948,True,True,True,True
373,12961,16,13,0.8125,1.752,2.431,True,True,True,True
380,13012,-1,-1,nan,0.0,0.0,False,False,False,
381,13012,20,0,0.0,1.774,0.459,True,False,False,False
384,13012,17,4,0.23529411764705882,1.631,0.568,True,True,True,True
390,13012,27,6,0.2222222222222222,4.505,0.853,True,True,True,True
392,13012,15,4,0.26666666666666666,1.963,0.839,True,True,True,False
395,13014,-1,-1,nan,0.0,0.0,False,False,False,
405,13014,20,13,0.65,2.136,1.173,True,True,True,False
406,13014,-1,-1,nan,0.0,0.0,False,False,False,
412,13014,30,0,0.0,5.368,0.649,True,False,False,False
414,13014,-1,-1,nan,0.0,0.0,False,False,False,
419,13016,17,2,0.11764705882352941,1.454,0.509,True,True,True,True
420,13016,17,2,0.11764705882352941,2.179,0.702,True,True,True,True
425,13029,17,0,0.0,1.91,0.437,True,False,False,False
428,13029,28,6,0.21428571428571427,3.651,0.499,True,True,True,True
430,13029,19,3,0.15789473684210525,2.552,0.657,True,True,True,False
432,13058,16,8,0.5,1.625,1.057,True,True,True,True
436,13058,23,7,0.30434782608695654,3.168,0.824,True,True,True,True
439,13103,35,0,0.0,4.057,0.449,True,False,False,False
441,13103,16,0,0.0,3.09,0.778,True,False,False,False
451,13103,18,3,0.16666666666666666,2.651,0.599,True,True,True,False
452,13103,25,11,0.44,3.942,1.608,True,True,True,True
454,13103,16,9,0.5625,1.228,0.934,True,True,True,True
455,13103,27,6,0.2222222222222222,5.168,0.77,True,True,True,False
466,13115,25,8,0.32,4.99,1.287,True,True,True,True
471,13224,22,9,0.4090909090909091,3.554,0.929,True,True,True,True
472,13224,16,8,0.5,1.672,0.998,True,True,True,True
473,13224,-1,-1,nan,0.0,0.0,False,False,False,
476,13224,16,7,0.4375,1.983,1.039,True,True,True,False
481,13224,23,0,0.0,3.171,0.586,True,False,False,False
484,13292,27,7,0.25925925925925924,3.374,1.216,True,True,True,True
493,13292,-1,-1,nan,0.0,0.0,False,False,False,
494,13292,16,5,0.3125,1.862,0.771,True,True,True,True
496,13292,15,10,0.6666666666666666,1.611,1.605,True,True,True,True
506,13327,16,0,0.0,2.155,0.585,True,False,False,False
513,13327,24,16,0.6666666666666666,3.131,2.765,True,True,True,True
515,13327,27,7,0.25925925925925924,5.532,1.026,True,True,True,True
524,13358,27,12,0.4444444444444444,4.699,1.187,True,True,True,True
525,13358,25,3,0.12,2.736,0.548,True,True,True,False
528,13358,17,9,0.5294117647058824,2.311,1.153,True,True,True,False
536,13406,16,0,0.0,1.869,0.796,True,False,False,False
541,13406,20,6,0.3,2.999,0.811,True,True,True,True
542,13406,15,7,0.4666666666666667,1.518,1.019,True,True,True,True
543,13406,15,15,1.0,2.046,1.323,True,True,True,False
545,13406,15,8,0.5333333333333333,2.04,0.942,True,True,True,True
546,13406,13,10,0.7692307692307693,1.274,1.693,True,True,True,False
548,13419,-1,-1,nan,0.0,0.0,False,False,False,
556,13419,17,4,0.23529411764705882,1.727,0.637,True,True,True,True
563,13419,-1,-1,nan,0.0,0.0,False,False,False,
564,13419,39,6,0.15384615384615385,4.784,0.962,True,True,True,True
565,13419,19,0,0.0,2.702,0.54,True,False,False,False
566,13419,18,7,0.3888888888888889,1.972,0.873,True,True,True,False
571,13452,32,49,1.53125,4.266,6.5,True,True,True,True
573,13452,-1,-1,nan,0.0,0.0,False,False,False,
578,13452,-1,-1,nan,0.0,0.0,False,False,False,
585,13729,-1,-1,nan,0.0,0.0,False,False,False,
595,13729,29,6,0.20689655172413793,4.117,0.825,True,True,True,True
596,13729,19,6,0.3157894736842105,3.423,1.219,True,True,True,True
598,13729,14,4,0.2857142857142857,1.51,0.472,True,True,True,True
601,13729,20,5,0.25,3.189,1.059,True,True,True,False
