# checkpoint=results/morph_warmup/pretrained/N2500/seed1/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.3214  bootstrap_ci95=[0.3076, 0.3333]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,15,8,0.5333333333333333,1.604,1.002,True,True,True,True
21,11815,17,4,0.23529411764705882,1.912,0.597,True,True,True,True
24,11816,50,0,0.0,6.049,0.54,True,False,False,False
26,11816,16,5,0.3125,1.271,0.7,True,True,True,True
27,11816,20,13,0.65,1.831,1.668,True,True,True,True
29,11816,21,5,0.23809523809523808,3.011,0.923,True,True,True,True
34,11816,18,3,0.16666666666666666,1.933,0.602,True,True,True,True
39,11816,19,9,0.47368421052631576,2.685,1.808,True,True,True,True
53,11818,14,9,0.6428571428571429,1.435,0.817,True,True,True,True
54,11818,14,4,0.2857142857142857,1.212,0.728,True,True,True,False
56,11818,14,9,0.6428571428571429,1.452,0.889,True,True,True,False
65,11840,16,6,0.375,2.229,0.721,True,True,True,True
71,11840,19,6,0.3157894736842105,2.38,0.801,True,True,True,False
73,11840,26,4,0.15384615384615385,3.312,0.724,True,True,True,True
75,11840,-1,-1,nan,0.0,0.0,False,False,False,
85,11840,-1,-1,nan,0.0,0.0,False,False,False,
86,11840,19,4,0.21052631578947367,2.515,0.655,True,True,True,True
88,11840,-1,-1,nan,0.0,0.0,False,False,False,
89,11840,15,5,0.3333333333333333,1.817,0.802,True,True,True,False
102,12089,16,6,0.375,1.974,0.966,True,True,True,True
107,12089,14,12,0.8571428571428571,1.362,1.262,True,True,True,True
117,12089,22,4,0.18181818181818182,1.693,0.426,True,True,True,False
129,12100,22,5,0.22727272727272727,2.475,0.861,True,True,True,True
130,12100,23,3,0.13043478260869565,2.627,0.632,True,True,True,True
132,12100,17,5,0.29411764705882354,1.845,0.774,True,True,True,True
140,12101,23,3,0.13043478260869565,3.069,0.685,True,True,True,True
143,12101,17,9,0.5294117647058824,2.314,1.354,True,True,True,True
149,12150,20,5,0.25,2.781,1.125,True,True,True,False
151,12150,24,0,0.0,3.315,0.964,True,False,False,False
162,12321,-1,-1,nan,0.0,0.0,False,False,False,
166,12321,28,14,0.5,4.575,2.254,True,True,True,True
180,12426,20,4,0.2,2.462,0.963,True,True,True,True
181,12426,19,3,0.15789473684210525,1.481,0.679,True,True,True,True
183,12426,-1,-1,nan,0.0,0.0,False,False,False,
193,12483,19,8,0.42105263157894735,2.615,0.893,True,True,True,True
197,12524,-1,-1,nan,0.0,0.0,False,False,False,
208,12534,19,9,0.47368421052631576,1.994,0.737,True,True,True,True
218,12534,27,12,0.4444444444444444,3.835,1.787,True,True,True,True
220,12534,27,4,0.14814814814814814,3.043,0.576,True,True,True,True
222,12551,-1,-1,nan,0.0,0.0,False,False,False,
224,12551,19,3,0.15789473684210525,2.031,0.595,True,True,True,True
232,12551,19,3,0.15789473684210525,3.185,0.788,True,True,True,False
235,12551,13,6,0.46153846153846156,1.28,0.755,True,True,True,False
241,12551,18,3,0.16666666666666666,1.935,0.653,True,True,True,True
248,12776,16,3,0.1875,1.735,0.711,True,True,True,True
251,12776,29,12,0.41379310344827586,3.635,1.684,True,True,True,True
255,12776,-1,-1,nan,0.0,0.0,False,False,False,
258,12790,-1,-1,nan,0.0,0.0,False,False,False,
261,12790,17,2,0.11764705882352941,1.795,0.789,True,True,True,True
273,12798,17,5,0.29411764705882354,1.771,0.824,True,True,True,False
278,12798,18,13,0.7222222222222222,2.185,1.816,True,True,True,False
284,12798,17,10,0.5882352941176471,2.374,2.066,True,True,True,True
299,12804,20,17,0.85,2.244,2.357,True,True,True,True
307,12839,18,13,0.7222222222222222,2.149,2.314,True,True,True,False
312,12839,15,9,0.6,1.529,1.785,True,True,True,True
315,12863,17,5,0.29411764705882354,1.885,0.67,True,True,True,True
319,12863,-1,-1,nan,0.0,0.0,False,False,False,
