# checkpoint=results/upsamp_warmup/pretrained/N6000/seed1/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.2941  bootstrap_ci95=[0.2778, 0.3158]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,15,3,0.2,1.814,0.56,True,True,True,True
21,11815,17,5,0.29411764705882354,1.768,0.765,True,True,True,True
24,11816,50,0,0.0,5.27,0.411,True,False,False,False
26,11816,16,0,0.0,1.047,0.369,True,False,False,False
27,11816,-1,-1,nan,0.0,0.0,False,False,False,
29,11816,21,16,0.7619047619047619,1.639,1.645,True,True,True,True
34,11816,18,5,0.2777777777777778,1.537,1.045,True,True,True,True
39,11816,19,7,0.3684210526315789,2.019,0.648,True,True,True,True
53,11818,14,11,0.7857142857142857,1.347,1.634,True,True,True,True
54,11818,-1,-1,nan,0.0,0.0,False,False,False,
56,11818,14,9,0.6428571428571429,1.341,0.81,True,True,True,False
65,11840,16,11,0.6875,1.819,1.03,True,True,True,True
71,11840,19,6,0.3157894736842105,1.982,0.909,True,True,True,True
73,11840,26,9,0.34615384615384615,3.212,1.022,True,True,True,True
75,11840,19,8,0.42105263157894735,1.64,0.955,True,True,True,True
85,11840,16,5,0.3125,2.109,0.616,True,True,True,True
86,11840,19,3,0.15789473684210525,2.013,0.788,True,True,True,True
88,11840,16,5,0.3125,1.858,0.667,True,True,True,True
89,11840,15,4,0.26666666666666666,1.473,0.705,True,True,True,False
102,12089,16,10,0.625,1.785,0.971,True,True,True,False
107,12089,14,5,0.35714285714285715,1.378,0.768,True,True,True,False
117,12089,22,5,0.22727272727272727,2.032,0.835,True,True,True,False
129,12100,22,5,0.22727272727272727,2.131,0.684,True,True,True,True
130,12100,23,5,0.21739130434782608,2.634,0.765,True,True,True,False
132,12100,17,8,0.47058823529411764,1.605,1.203,True,True,True,True
140,12101,23,12,0.5217391304347826,2.714,1.601,True,True,True,True
143,12101,17,8,0.47058823529411764,1.928,1.203,True,True,True,True
149,12150,20,3,0.15,2.431,0.681,True,True,True,True
151,12150,24,11,0.4583333333333333,3.158,1.726,True,True,True,True
162,12321,84,0,0.0,7.719,0.41,True,False,False,False
166,12321,28,25,0.8928571428571429,3.985,3.261,True,True,True,True
180,12426,20,3,0.15,2.418,0.75,True,True,True,True
181,12426,19,3,0.15789473684210525,1.693,0.584,True,True,True,False
183,12426,19,7,0.3684210526315789,2.515,1.302,True,True,True,True
193,12483,19,6,0.3157894736842105,2.839,0.488,True,True,True,True
197,12524,18,2,0.1111111111111111,1.758,0.56,True,True,True,True
208,12534,19,4,0.21052631578947367,2.147,0.687,True,True,True,True
218,12534,-1,-1,nan,0.0,0.0,False,False,False,
220,12534,27,11,0.4074074074074074,4.638,1.941,True,True,True,False
222,12551,32,23,0.71875,3.033,2.742,True,True,True,True
224,12551,19,0,0.0,1.461,0.4,True,False,False,False
