# checkpoint=results/morph_adapted_warmup/random_warmup_llrd_N1000_seed42/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.4000  bootstrap_ci95=[0.3889, 0.4286]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,15,6,0.4,1.791,1.018,True,True,True,True
21,11815,17,13,0.7647058823529411,1.916,2.37,True,True,True,True
24,11816,50,0,0.0,5.535,0.547,True,False,False,False
26,11816,16,6,0.375,1.087,0.457,True,True,True,True
27,11816,20,19,0.95,2.501,2.793,True,True,True,False
29,11816,21,14,0.6666666666666666,2.324,1.616,True,True,True,True
34,11816,18,6,0.3333333333333333,1.743,0.73,True,True,True,True
39,11816,19,8,0.42105263157894735,1.931,1.581,True,True,True,True
53,11818,14,9,0.6428571428571429,1.382,0.968,True,True,True,True
54,11818,14,3,0.21428571428571427,1.276,0.902,True,True,True,False
56,11818,14,10,0.7142857142857143,1.204,0.896,True,True,True,False
65,11840,16,7,0.4375,1.779,1.313,True,True,True,False
71,11840,19,10,0.5263157894736842,2.168,2.146,True,True,True,True
73,11840,26,8,0.3076923076923077,3.999,1.46,True,True,True,True
75,11840,19,5,0.2631578947368421,2.478,0.811,True,True,True,True
85,11840,16,7,0.4375,1.65,0.953,True,True,True,True
86,11840,-1,-1,nan,0.0,0.0,False,False,False,
88,11840,16,9,0.5625,2.479,1.093,True,True,True,True
89,11840,15,11,0.7333333333333333,1.786,1.521,True,True,True,False
102,12089,16,12,0.75,1.731,1.42,True,True,True,True
107,12089,14,6,0.42857142857142855,1.518,0.754,True,True,True,False
117,12089,22,13,0.5909090909090909,2.352,1.846,True,True,True,True
129,12100,22,6,0.2727272727272727,2.092,0.653,True,True,True,False
130,12100,23,0,0.0,2.488,0.377,True,False,False,False
132,12100,17,0,0.0,1.814,0.611,True,False,False,False
140,12101,23,0,0.0,2.707,1.022,True,False,False,False
143,12101,17,4,0.23529411764705882,2.087,0.867,True,True,True,True
149,12150,20,18,0.9,2.837,2.814,True,True,True,True
151,12150,24,4,0.16666666666666666,3.273,0.668,True,True,True,True
162,12321,84,0,0.0,7.323,0.48,True,False,False,False
166,12321,28,51,1.8214285714285714,5.794,9.281,True,True,True,True
180,12426,20,0,0.0,2.332,0.71,True,False,False,False
181,12426,19,0,0.0,2.445,0.731,True,False,False,False
183,12426,19,6,0.3157894736842105,2.468,0.619,True,True,True,True
193,12483,19,10,0.5263157894736842,2.451,1.182,True,True,True,True
197,12524,18,6,0.3333333333333333,2.465,0.667,True,True,True,True
208,12534,19,3,0.15789473684210525,1.938,0.45,True,True,True,True
218,12534,27,11,0.4074074074074074,4.132,1.957,True,True,True,True
220,12534,27,4,0.14814814814814814,5.374,0.639,True,True,True,True
222,12551,-1,-1,nan,0.0,0.0,False,False,False,
224,12551,19,0,0.0,1.93,0.567,True,False,False,False
232,12551,19,9,0.47368421052631576,2.312,1.373,True,True,True,False
235,12551,13,9,0.6923076923076923,1.5,0.913,True,True,True,True
241,12551,18,0,0.0,2.238,0.727,True,False,False,False
248,12776,16,6,0.375,2.016,1.017,True,True,True,True
251,12776,29,4,0.13793103448275862,3.422,1.175,True,True,True,True
255,12776,28,8,0.2857142857142857,5.269,1.368,True,True,True,True
258,12790,34,0,0.0,5.185,0.626,True,False,False,False
