# checkpoint=results/morph_warmup/random/N2000/seed0/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.4000  bootstrap_ci95=[0.3684, 0.4202]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,15,4,0.26666666666666666,2.067,0.626,True,True,True,True
21,11815,17,10,0.5882352941176471,1.57,1.82,True,True,True,True
24,11816,50,0,0.0,6.554,0.511,True,False,False,False
26,11816,16,18,1.125,1.717,2.761,True,True,True,True
27,11816,20,14,0.7,2.98,2.792,True,True,True,True
29,11816,21,9,0.42857142857142855,2.582,0.991,True,True,True,False
34,11816,18,8,0.4444444444444444,2.121,1.439,True,True,True,True
39,11816,19,6,0.3157894736842105,2.51,1.209,True,True,True,True
53,11818,14,4,0.2857142857142857,1.691,0.967,True,True,True,True
54,11818,14,0,0.0,1.228,0.587,True,False,False,False
56,11818,14,10,0.7142857142857143,1.972,2.106,True,True,True,False
65,11840,16,20,1.25,2.378,3.636,True,True,True,False
71,11840,19,9,0.47368421052631576,2.859,0.851,True,True,True,True
73,11840,26,9,0.34615384615384615,3.37,0.905,True,True,True,True
75,11840,19,0,0.0,2.444,0.521,True,False,False,False
85,11840,16,5,0.3125,1.912,1.088,True,True,True,True
86,11840,19,4,0.21052631578947367,3.492,0.98,True,True,True,True
88,11840,16,3,0.1875,2.225,0.442,True,True,True,True
89,11840,15,12,0.8,1.979,2.304,True,True,True,True
102,12089,16,8,0.5,2.214,1.309,True,True,True,True
107,12089,-1,-1,nan,0.0,0.0,False,False,False,
117,12089,22,8,0.36363636363636365,2.558,0.818,True,True,True,True
129,12100,22,14,0.6363636363636364,2.577,2.802,True,True,True,True
130,12100,23,0,0.0,3.085,0.518,True,False,False,False
132,12100,17,5,0.29411764705882354,1.619,0.646,True,True,True,True
140,12101,23,0,0.0,2.436,0.583,True,False,False,False
143,12101,-1,-1,nan,0.0,0.0,False,False,False,
149,12150,20,5,0.25,3.333,0.742,True,True,True,True
151,12150,24,9,0.375,3.715,2.14,True,True,True,True
162,12321,84,0,0.0,5.41,0.444,True,False,False,False
166,12321,-1,-1,nan,0.0,0.0,False,False,False,
180,12426,20,2,0.1,2.699,0.694,True,True,True,True
181,12426,19,10,0.5263157894736842,2.225,1.663,True,True,True,False
183,12426,19,4,0.21052631578947367,2.471,0.891,True,True,True,False
193,12483,19,9,0.47368421052631576,2.918,1.207,True,True,True,True
197,12524,18,8,0.4444444444444444,1.811,1.027,True,True,True,False
208,12534,19,10,0.5263157894736842,2.384,1.143,True,True,True,True
218,12534,27,17,0.6296296296296297,5.041,3.1,True,True,True,True
220,12534,27,-1,nan,4.823,0.0,True,False,False,
222,12551,32,14,0.4375,4.243,1.342,True,True,True,True
224,12551,19,4,0.21052631578947367,2.13,0.794,True,True,True,True
232,12551,19,4,0.21052631578947367,3.704,0.839,True,True,True,False
235,12551,13,6,0.46153846153846156,1.142,0.949,True,True,True,False
241,12551,18,4,0.2222222222222222,2.991,1.016,True,True,True,True
248,12776,16,14,0.875,1.45,2.45,True,True,True,True
251,12776,29,8,0.27586206896551724,4.459,1.121,True,True,True,True
255,12776,28,4,0.14285714285714285,4.818,0.728,True,True,True,True
258,12790,-1,-1,nan,0.0,0.0,False,False,False,
261,12790,17,3,0.17647058823529413,2.517,1.049,True,True,True,False
273,12798,17,7,0.4117647058823529,1.72,0.859,True,True,True,False
278,12798,18,0,0.0,2.231,0.685,True,False,False,False
284,12798,17,6,0.35294117647058826,2.172,0.854,True,True,True,True
299,12804,20,11,0.55,2.176,1.991,True,True,True,False
307,12839,18,6,0.3333333333333333,2.374,0.642,True,True,True,False
312,12839,15,4,0.26666666666666666,1.625,0.698,True,True,True,True
315,12863,17,2,0.11764705882352941,2.43,0.6,True,True,True,True
319,12863,18,3,0.16666666666666666,2.043,0.886,True,True,True,False
325,12863,-1,-1,nan,0.0,0.0,False,False,False,
326,12863,15,5,0.3333333333333333,1.83,0.662,True,True,True,False
329,12863,16,15,0.9375,2.47,2.431,True,True,True,False
331,12863,27,11,0.4074074074074074,4.038,1.489,True,True,True,True
337,12906,22,18,0.8181818181818182,3.347,3.888,True,True,True,True
340,12906,20,6,0.3,1.966,0.683,True,True,True,False
343,12906,25,5,0.2,3.64,1.289,True,True,True,True
344,12936,44,0,0.0,4.617,0.545,True,False,False,False
345,12936,20,7,0.35,2.226,1.023,True,True,True,True
364,12959,16,4,0.25,2.008,0.616,True,True,True,True
365,12959,20,4,0.2,2.805,1.084,True,True,True,False
366,12961,57,10,0.17543859649122806,6.93,0.456,True,True,True,True
369,12961,17,4,0.23529411764705882,1.429,0.538,True,True,True,True
373,12961,16,4,0.25,1.597,0.547,True,True,True,True
380,13012,28,25,0.8928571428571429,3.248,2.697,True,True,True,True
381,13012,20,4,0.2,2.992,0.752,True,True,True,True
384,13012,17,4,0.23529411764705882,1.428,0.539,True,True,True,True
390,13012,27,9,0.3333333333333333,3.238,1.15,True,True,True,True
392,13012,15,6,0.4,2.256,1.021,True,True,True,True
395,13014,16,6,0.375,1.553,0.926,True,True,True,True
405,13014,20,0,0.0,2.832,0.703,True,False,False,False
406,13014,19,0,0.0,2.034,0.483,True,False,False,False
412,13014,30,14,0.4666666666666667,5.943,1.234,True,True,True,False
414,13014,14,13,0.9285714285714286,1.617,1.627,True,True,True,False
419,13016,17,5,0.29411764705882354,1.805,0.707,True,True,True,False
420,13016,17,5,0.29411764705882354,2.466,0.738,True,True,True,False
425,13029,17,0,0.0,1.723,0.587,True,False,False,False
428,13029,28,3,0.10714285714285714,4.555,0.704,True,True,True,True
430,13029,19,4,0.21052631578947367,2.632,0.706,True,True,True,False
432,13058,16,5,0.3125,1.332,0.625,True,True,True,True
436,13058,23,0,0.0,2.097,0.565,True,False,False,False
439,13103,35,0,0.0,3.881,0.556,True,False,False,False
441,13103,16,15,0.9375,2.551,2.058,True,True,True,False
451,13103,18,13,0.7222222222222222,2.202,1.892,True,True,True,True
452,13103,25,9,0.36,3.637,1.198,True,True,True,False
454,13103,16,10,0.625,1.686,1.2,True,True,True,True
455,13103,27,7,0.25925925925925924,3.91,1.249,True,True,True,True
466,13115,25,7,0.28,4.648,0.671,True,True,True,False
