# checkpoint=results/upsamp_warmup/random/N5500/seed42/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.3077  bootstrap_ci95=[0.2902, 0.3201]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,15,15,1.0,1.404,1.767,True,True,True,True
21,11815,-1,-1,nan,0.0,0.0,False,False,False,
24,11816,50,0,0.0,6.062,0.568,True,False,False,False
26,11816,16,5,0.3125,1.193,0.611,True,True,True,True
27,11816,20,5,0.25,2.245,0.632,True,True,True,True
29,11816,21,10,0.47619047619047616,2.236,0.979,True,True,True,False
34,11816,-1,-1,nan,0.0,0.0,False,False,False,
39,11816,19,5,0.2631578947368421,1.961,0.46,True,True,True,True
53,11818,14,6,0.42857142857142855,1.329,0.77,True,True,True,True
54,11818,14,4,0.2857142857142857,1.492,0.586,True,True,True,True
56,11818,14,9,0.6428571428571429,1.174,0.884,True,True,True,False
65,11840,16,6,0.375,1.714,0.489,True,True,True,False
71,11840,19,9,0.47368421052631576,1.958,1.128,True,True,True,True
73,11840,26,7,0.2692307692307692,2.984,0.726,True,True,True,True
75,11840,-1,-1,nan,0.0,0.0,False,False,False,
85,11840,16,6,0.375,1.738,1.274,True,True,True,True
86,11840,19,3,0.15789473684210525,2.555,0.572,True,True,True,True
88,11840,16,4,0.25,1.356,0.455,True,True,True,False
89,11840,15,3,0.2,1.444,0.514,True,True,True,False
102,12089,16,4,0.25,1.898,0.524,True,True,True,True
107,12089,14,4,0.2857142857142857,1.497,0.603,True,True,True,True
117,12089,22,9,0.4090909090909091,2.498,1.296,True,True,True,False
129,12100,22,9,0.4090909090909091,2.342,1.303,True,True,True,True
130,12100,23,9,0.391304347826087,2.447,1.605,True,True,True,True
132,12100,17,6,0.35294117647058826,1.503,0.885,True,True,True,True
140,12101,23,9,0.391304347826087,2.532,1.233,True,True,True,False
143,12101,17,9,0.5294117647058824,1.965,1.686,True,True,True,True
149,12150,20,7,0.35,2.128,1.102,True,True,True,False
151,12150,24,5,0.20833333333333334,2.902,0.723,True,True,True,True
162,12321,84,0,0.0,5.679,0.385,True,False,False,False
166,12321,28,0,0.0,3.698,0.729,True,False,False,False
